web-scraper-order,web-scraper-start-url,title,title-href,title_name
"1552993481-153","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Which formulas are we expected to remember for the...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2712795","Which formulas are we expected to remember for the final exam? There's quite a large amount of them in the course."
"1552993448-137","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Will we receive our assignment grades before the f...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2707940","Will we receive our assignment grades before the final?"
"1552993424-125","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Another Coding Tutorial Video for Tensorflow Class...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2701109","Another Coding Tutorial Video for Tensorflow Classification!
 
 
  Hey guys, I made
  
   another video
  
  tutorial for coding up a simple classification example in Tensorflow. Hope it helps with asst1!"
"1552993395-111","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Hi Alan，
 
 Where can we find the recording?","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2697902","Hi Alan，
 
 
  Where can we find the recording?"
"1552993432-129","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Have I passed the part 1 auto-test based on the ...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2701404","Have I passed the part 1 auto-test based on the image below?
 
 
  Thanks
 
 
  
 
 
  
  
  
  
  <u></u>"
"1552993465-145","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","how deeply do we need to go into the mathematics i...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2712383","how deeply do we need to go into the mathematics in the course? It feels like most of it has always been brushed over"
"1552993455-140","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","i cannot see the marks for assig2 ?..... is marks ...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2709879","i cannot see the marks for assig2 ?..... is marks uploaded for all the students"
"1552993469-147","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Is it necessary to know details about the archit...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2712547","Is it necessary to know details about the architecture of networks such as LeNet/Alexnet for the exam? Or have these been included as tools to help us understand the concepts around them?"
"1552993442-134","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Any good resources on rehaping tensors?
 
 
 
 I g...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2705892","Any good resources on rehaping tensors?
 
 
  

 
 
  I get the general idea but still having a lot of trouble putting it into practice and understanding exactly what to reshape tensors to in tensorflow. Has anyone come across any good resources that explains reshaping in the context of tensorflow?
 
 
  

 
 
  Thanks"
"1552993440-133","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Is there a sample final exam? I'm just wondering h...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2703819","Is there a sample final exam? I'm just wondering how theory based it is and how heavy it is on formula. Thanks"
"1552993446-136","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Is there anything wrong with the 'Groups' function...","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2707748","Is there anything wrong with the 'Groups' function of WebCMS3? My friend and I were in the same group for hw3. After my friend (admin) left the group, I'm not able to leave. Keep having the same error (internal error). Help please. Thanks in advance."
"1552993444-135","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Has the assignment3 been released yet?","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2706960","Has the assignment3 been released yet?"
"1552993463-144","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","Do we have consultation for the exam?","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2712097","Do we have consultation for the exam?"
"1552993473-149","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/course","What is the format of the final exam?","https://webcms3.cse.unsw.edu.au/COMP9444/18s2/forums/2710325","What is the format of the final exam?"
